Speaker Laber,Gender,Word,Vowel Phoneme,Class Label,Formant 1,Formant 2,Formant 3
cxg001,M,had,AE,3,876.32,1481.85,2428.58
cxg001,M,hood,UH,1,706.71,1869.94,2689.08
ejd001,M,hid,IH,2,1267.54,2583.06,3605.72
ejd001,M,had,AE,3,707.61,1693.8,2602.44
ejd001,M,hood,UH,1,1082.61,2200.26,3182.29
gmc001,M,hid,IH,2,496.48,1854.55,2663.9
gmc001,M,had,AE,3,983.92,1482.74,2723.38
gmc001,M,hood,UH,1,1129.98,2131.54,3104.17
ald001,F,hid,IH,2,458.23,2465.87,2801.91
ald001,F,had,AE,3,1071.79,1756.54,2761.59
ald001,F,hood,UH,1,557.58,1915.823,2911.31
cxb002,F,hid,IH,2,522.16,2442.05,3112.27
cxb002,F,had,AE,3,1028.33,1949.3,2482.48
cxb002,F,hood,UH,1,504.18,1791.29,2740.67
dab001,F,hid,IH,2,383.14,2378.72,2875
dab001,F,had,AE,3,839.53,1847.39,2612.43
dab001,F,hood,UH,1,398.04,1744.98,2621.71
hjl001,F,hid,IH,2,590.86,2863.53,3411.94
hjl001,F,had,AE,3,984.05,1927.28,3198.92
hjl001,F,hood,UH,1,559.49,2126.72,3114.94
jkb001,F,hid,IH,2,396.47,2472.27,2987.67
jkb001,F,had,AE,3,721.7,1785.81,2946.56
jkb001,F,hood,UH,1,429.75,1357.14,2862.7
asp001,M,hid,IH,2,389.61,2233.81,2716.21
asp001,M,had,AE,3,717.23,1824.59,2522.83
asp001,M,hood,UH,1,413.69,1242.95,3006.15
baj001,M,hid,IH,2,471.04,2280.76,3004.4
baj001,M,had,AE,3,704.2,1834.02,2458.78
baj001,M,hood,UH,1,445.1,1577.72,2622.52
htl001,M,hid,IH,2,402.48,2064.38,2669.83
htl001,M,had,AE,3,735.71,1623.89,2440.6
htl001,M,hood,UH,1,487.4,1709.61,2436.72
ifp001,M,hid,IH,2,963.34,2261.1,3117.66
ifp001,M,had,AE,3,599.2,1767.35,2580.67
ifp001,M,hood,UH,1,904.5,2054,3531.52
kxk001,M,hid,IH,2,318,1934.53,2740.07
kxk001,M,had,AE,3,769.11,1541.2,2528.2
kxk001,M,hood,UH,1,1310.9,2407.6,3218.5
cet001,F,hid,IH,2,525.2,2461.36,3156.13
cet001,F,had,AE,3,862.3,1911.32,2872.3
cet001,F,hood,UH,1,477.81,1318.73,2720.52
edc001,F,hid,IH,2,543.56,2531.6,2911.76
edc001,F,had,AE,3,934,1603.47,2761.26
edc001,F,hood,UH,1,553.56,1346.48,2592.1
hxc001,F,hid,IH,2,484.26,1785.2,2682.42
hxc001,F,had,AE,3,972.1,1745.9,2923.5
hxc001,F,hood,UH,1,558.02,1715.61,2966.151
jat001,F,hid,IH,2,533.17,2447.85,3139.9
jat001,F,had,AE,3,898.52,1794.7,2718.94
jat001,F,hood,UH,1,399.2,928.66,3053.6
jfj001,F,hid,IH,2,572.4,2532.03,3150.4
jfj001,F,had,AE,3,955.34,1841.99,2887.18
jfj001,F,hood,UH,1,560.81,1314.64,2839.9
ajt001,M,hid,IH,2,465.65,1882.94,2585.52
ajt001,M,had,AE,3,787.99,1458.23,2614.8
ajt001,M,hood,UH,1,395.8,1167.87,2614.06
axc001,M,hid,IH,2,1390.18,2427.52,3249
axc001,M,had,AE,3,831.71,1563.06,2462.73
axc001,M,hood,UH,1,467.02,1405.91,2665.87
ccw001,M,hid,IH,2,464.06,2170.52,2952.55
ccw001,M,had,AE,3,731.34,1425.8,2676.02
ccw001,M,hood,UH,1,452.18,1432.51,2558.43
dps001,M,hid,IH,2,952.51,2173.94,2904.02
dps001,M,had,AE,3,850.1,1435.34,2063.4
dps001,M,hood,UH,1,935.04,2008.25,3204.96
dwc001,M,hid,IH,2,378.79,2175.2,2728
dwc001,M,had,AE,3,774.19,1428.98,2349.22
dwc001,M,hood,UH,1,987,2527.81,3656.56
aud001,F,hid,IH,2,761.43,1983.84,3195.34
aud001,F,had,AE,3,896.86,1734.22,2901.03
aud001,F,hood,UH,1,439.76,1920.2,2953.05
fmb001,F,hid,IH,2,636.6,2240.08,3099.2
fmb001,F,had,AE,3,772.3,1841.08,3110.45
fmb001,F,hood,UH,1,441,2038.34,2991.13
jec001,F,hid,IH,2,776.87,2056.22,2984.86
jec001,F,had,AE,3,916.4,1661.54,2668.45
jec001,F,hood,UH,1,403.92,2114.16,2846.64
joh001,F,hid,IH,2,672.56,1890.25,2801.2
joh001,F,had,AE,3,850.93,1594.42,2816.03
joh001,F,hood,UH,1,476.09,1867.39,2687.74
kam001,F,hid,IH,2,599.3,2205.43,3060
kam001,F,had,AE,3,834.45,1790.13,2755.8
kam001,F,hood,UH,1,391.75,2047.96,2797.18
gty001,M,hid,IH,2,610.91,1678.96,2503.74
gty001,M,had,AE,3,700.35,1445.19,2672.57
gty001,M,hood,UH,1,804.4,1993.86,2867.82
iwd001,M,hid,IH,2,520.566,1983.17,2737.01
iwd001,M,had,AE,3,884.26,1490.34,2765.87
iwd001,M,hood,UH,1,602.42,1643.67,3016.8
jmc002,M,hid,IH,2,714.3,1448.52,2785.98
jmc002,M,had,AE,3,727.66,1414.71,2771.73
jmc002,M,hood,UH,1,1605.45,2420.61,3453.68
ljg001,M,hid,IH,2,558.33,1815.16,2726.14
ljg001,M,had,AE,3,746.1,1465.43,2533.27
ljg001,M,hood,UH,1,418.41,1739.28,2670.86
rac001,M,hid,IH,2,663.03,1636.24,2571.05
rac001,M,had,AE,3,843.2,1548.9,2594.97
rac001,M,hood,UH,1,1591.21,2555.65,3319.58
